,Environment,Algorithm,AUC,optimizer.eps,optimizer.alpha,update_freq,target_refresh,optimizer.beta2
0,P3,DQN-11,0.9569949725476035,0.01,0.0003,4,128,0.9
1,P3,DQN-13,0.9596477176712931,0.01,0.0003,4,128,0.9
2,P3,DQN-15,0.9770483318805356,1e-08,3e-05,1,128,0.999
3,P3,DQN-3,0.6876548262028024,1e-08,0.0001,1,1,0.9
4,P3,DQN-5,0.6449509281027469,0.01,0.0001,1,128,0.9
5,P3,DQN-7,0.8138499425215237,0.01,0.0003,4,128,0.999
6,P3,DQN-9,0.9235334529710716,1e-08,0.0003,4,128,0.9
7,P3,DRQN-11,1.0066826286477824,0.01,0.0003,1,128,0.999
8,P3,DRQN-13,1.0167256584735336,1e-08,0.0003,4,128,0.999
9,P3,DRQN-15,0.9977455344994901,0.01,0.0003,1,128,0.9
10,P3,DRQN-3,0.672133741567213,0.01,0.0003,4,1,0.999
11,P3,DRQN-5,0.9063020688211336,0.01,0.001,1,128,0.9
12,P3,DRQN-7,0.9620692913186748,0.01,0.0003,1,128,0.9
13,P3,DRQN-9,0.9917511016823743,1e-08,0.0003,1,128,0.999
