,Environment,Algorithm,Goal,Seed,AUC
0,transfer,DQN-ReLU-transfer-101,101,0,9.23
1,transfer,DQN-ReLU-transfer-101,101,3,8.4
2,transfer,DQN-ReLU-transfer-101,101,1,8.17
3,transfer,DQN-ReLU-transfer-101,101,4,8.41
4,transfer,DQN-ReLU-transfer-101,101,2,5.08
5,transfer,DQN-ReLU-transfer-160,160,4,6.53
6,transfer,DQN-ReLU-transfer-160,160,1,6.61
7,transfer,DQN-ReLU-transfer-160,160,3,9.370000000000001
8,transfer,DQN-ReLU-transfer-160,160,0,8.24
9,transfer,DQN-ReLU-transfer-160,160,2,6.79
10,transfer,DQN-ReLU-vf5-transfer-65,65,3,9.030000000000001
11,transfer,DQN-ReLU-vf5-transfer-65,65,0,9.98
12,transfer,DQN-ReLU-vf5-transfer-65,65,1,9.83
13,transfer,DQN-ReLU-vf5-transfer-65,65,2,9.719999999999999
14,transfer,DQN-ReLU-vf5-transfer-65,65,4,9.96
15,transfer,DQN-ReLU-transfer-141,141,2,8.690000000000001
16,transfer,DQN-ReLU-transfer-141,141,4,8.82
17,transfer,DQN-ReLU-transfer-141,141,0,9.55
18,transfer,DQN-ReLU-transfer-141,141,3,9.33
19,transfer,DQN-ReLU-transfer-141,141,1,8.31
20,transfer,DQN-ReLU-vf5-transfer-133,133,2,9.08
21,transfer,DQN-ReLU-vf5-transfer-133,133,0,9.84
22,transfer,DQN-ReLU-vf5-transfer-133,133,4,9.89
23,transfer,DQN-ReLU-vf5-transfer-133,133,3,9.780000000000001
24,transfer,DQN-ReLU-vf5-transfer-133,133,1,9.41
25,transfer,DQN-ReLU-vf5-transfer-25,25,2,10.0
26,transfer,DQN-ReLU-vf5-transfer-25,25,3,10.0
27,transfer,DQN-ReLU-vf5-transfer-25,25,0,9.99
28,transfer,DQN-ReLU-vf5-transfer-25,25,4,10.0
29,transfer,DQN-ReLU-vf5-transfer-25,25,1,10.0
30,transfer,DQN-ReLU-vf5-transfer-153,153,4,9.51
31,transfer,DQN-ReLU-vf5-transfer-153,153,0,9.54
32,transfer,DQN-ReLU-vf5-transfer-153,153,3,8.31
33,transfer,DQN-ReLU-vf5-transfer-153,153,2,9.57
34,transfer,DQN-ReLU-vf5-transfer-153,153,1,9.08
35,transfer,DQN-ReLU-vf5-transfer-168,168,4,9.18
36,transfer,DQN-ReLU-vf5-transfer-168,168,3,9.27
37,transfer,DQN-ReLU-vf5-transfer-168,168,0,10.0
38,transfer,DQN-ReLU-vf5-transfer-168,168,1,8.73
39,transfer,DQN-ReLU-vf5-transfer-168,168,2,9.15
40,transfer,DQN-ReLU-vf5-transfer-145,145,2,9.17
41,transfer,DQN-ReLU-vf5-transfer-145,145,0,9.07
42,transfer,DQN-ReLU-vf5-transfer-145,145,3,10.0
43,transfer,DQN-ReLU-vf5-transfer-145,145,4,9.94
44,transfer,DQN-ReLU-vf5-transfer-145,145,1,10.0
45,transfer,DQN-ReLU-vf5-transfer-124,124,4,9.75
46,transfer,DQN-ReLU-vf5-transfer-124,124,1,8.04
47,transfer,DQN-ReLU-vf5-transfer-124,124,2,9.370000000000001
48,transfer,DQN-ReLU-vf5-transfer-124,124,0,9.77
49,transfer,DQN-ReLU-vf5-transfer-124,124,3,9.94
50,transfer,DQN-ReLU-transfer-21,21,3,9.99
51,transfer,DQN-ReLU-transfer-21,21,2,10.0
52,transfer,DQN-ReLU-transfer-21,21,1,10.0
53,transfer,DQN-ReLU-transfer-21,21,4,9.98
54,transfer,DQN-ReLU-transfer-21,21,0,9.98
55,transfer,DQN-ReLU-vf5-transfer-86,86,4,9.4
56,transfer,DQN-ReLU-vf5-transfer-86,86,2,8.92
57,transfer,DQN-ReLU-vf5-transfer-86,86,0,9.04
58,transfer,DQN-ReLU-vf5-transfer-86,86,1,9.66
59,transfer,DQN-ReLU-vf5-transfer-86,86,3,9.24
60,transfer,DQN-ReLU-transfer-117,117,2,9.95
61,transfer,DQN-ReLU-transfer-117,117,0,9.129999999999999
62,transfer,DQN-ReLU-transfer-117,117,4,9.879999999999999
63,transfer,DQN-ReLU-transfer-117,117,1,9.219999999999999
64,transfer,DQN-ReLU-transfer-117,117,3,9.66
65,transfer,DQN-ReLU-transfer-16,16,2,9.98
66,transfer,DQN-ReLU-transfer-16,16,4,9.99
67,transfer,DQN-ReLU-transfer-16,16,0,10.0
68,transfer,DQN-ReLU-transfer-16,16,3,9.99
69,transfer,DQN-ReLU-transfer-16,16,1,10.0
70,transfer,DQN-ReLU-transfer-120,120,2,9.18
71,transfer,DQN-ReLU-transfer-120,120,4,9.17
72,transfer,DQN-ReLU-transfer-120,120,0,9.14
73,transfer,DQN-ReLU-transfer-120,120,1,7.96
74,transfer,DQN-ReLU-transfer-120,120,3,9.71
75,transfer,DQN-ReLU-transfer-61,61,0,8.03
76,transfer,DQN-ReLU-transfer-61,61,4,8.44
77,transfer,DQN-ReLU-transfer-61,61,1,8.22
78,transfer,DQN-ReLU-transfer-61,61,2,5.08
79,transfer,DQN-ReLU-transfer-61,61,3,8.39
80,transfer,DQN-ReLU-vf5-transfer-105,105,4,8.92
81,transfer,DQN-ReLU-vf5-transfer-105,105,1,9.530000000000001
82,transfer,DQN-ReLU-vf5-transfer-105,105,3,9.64
83,transfer,DQN-ReLU-vf5-transfer-105,105,2,7.61
84,transfer,DQN-ReLU-vf5-transfer-105,105,0,9.1
85,transfer,DQN-ReLU-vf5-transfer-149,149,4,9.98
86,transfer,DQN-ReLU-vf5-transfer-149,149,0,9.19
87,transfer,DQN-ReLU-vf5-transfer-149,149,1,9.95
88,transfer,DQN-ReLU-vf5-transfer-149,149,3,10.0
89,transfer,DQN-ReLU-vf5-transfer-149,149,2,9.09
90,transfer,DQN-ReLU-transfer-95,95,3,8.24
91,transfer,DQN-ReLU-transfer-95,95,1,8.02
92,transfer,DQN-ReLU-transfer-95,95,4,4.97
93,transfer,DQN-ReLU-transfer-95,95,2,2.01
94,transfer,DQN-ReLU-transfer-95,95,0,9.24
95,transfer,DQN-ReLU-vf5-transfer-2,2,1,9.99
96,transfer,DQN-ReLU-vf5-transfer-2,2,4,9.629999999999999
97,transfer,DQN-ReLU-vf5-transfer-2,2,0,10.0
98,transfer,DQN-ReLU-vf5-transfer-2,2,3,9.870000000000001
99,transfer,DQN-ReLU-vf5-transfer-2,2,2,9.969999999999999
100,transfer,DQN-ReLU-vf5-transfer-48,48,4,10.0
101,transfer,DQN-ReLU-vf5-transfer-48,48,1,10.0
102,transfer,DQN-ReLU-vf5-transfer-48,48,0,9.95
103,transfer,DQN-ReLU-vf5-transfer-48,48,3,10.0
104,transfer,DQN-ReLU-vf5-transfer-48,48,2,10.0
105,transfer,DQN-ReLU-vf5-transfer-12,12,3,9.93
106,transfer,DQN-ReLU-vf5-transfer-12,12,1,10.0
107,transfer,DQN-ReLU-vf5-transfer-12,12,0,10.0
108,transfer,DQN-ReLU-vf5-transfer-12,12,4,10.0
109,transfer,DQN-ReLU-vf5-transfer-12,12,2,10.0
110,transfer,DQN-ReLU-vf5-transfer-164,164,0,9.99
111,transfer,DQN-ReLU-vf5-transfer-164,164,1,9.030000000000001
112,transfer,DQN-ReLU-vf5-transfer-164,164,2,9.16
113,transfer,DQN-ReLU-vf5-transfer-164,164,4,9.71
114,transfer,DQN-ReLU-vf5-transfer-164,164,3,9.74
115,transfer,DQN-ReLU-vf5-transfer-109,109,4,9.91
116,transfer,DQN-ReLU-vf5-transfer-109,109,1,10.0
117,transfer,DQN-ReLU-vf5-transfer-109,109,2,9.46
118,transfer,DQN-ReLU-vf5-transfer-109,109,0,9.15
119,transfer,DQN-ReLU-vf5-transfer-109,109,3,9.879999999999999
120,transfer,DQN-ReLU-transfer-99,99,4,3.86
121,transfer,DQN-ReLU-transfer-99,99,0,8.55
122,transfer,DQN-ReLU-transfer-99,99,2,4.21
123,transfer,DQN-ReLU-transfer-99,99,1,8.75
124,transfer,DQN-ReLU-transfer-99,99,3,8.01
125,transfer,DQN-ReLU-transfer-137,137,3,2.63
126,transfer,DQN-ReLU-transfer-137,137,4,0.9800000000000001
127,transfer,DQN-ReLU-transfer-137,137,1,4.63
128,transfer,DQN-ReLU-transfer-137,137,0,7.82
129,transfer,DQN-ReLU-transfer-137,137,2,7.26
130,transfer,DQN-ReLU-transfer-94,94,0,9.32
