,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return
0,transfer_sweep,DQN-FTA-transfer-sweep,0,optimizer.alpha,0.0001,9.496,3911.4
1,transfer_sweep,DQN-FTA-transfer-sweep,10,optimizer.alpha,0.0001,9.692,4252.6
2,transfer_sweep,DQN-FTA-transfer-sweep,100,optimizer.alpha,0.0003,9.218,4427.8
3,transfer_sweep,DQN-FTA-transfer-sweep,105,optimizer.alpha,0.0003,9.438,4529.8
4,transfer_sweep,DQN-FTA-transfer-sweep,110,optimizer.alpha,0.0003,9.884,8315.0
5,transfer_sweep,DQN-FTA-transfer-sweep,115,optimizer.alpha,0.0001,8.828,3781.8
6,transfer_sweep,DQN-FTA-transfer-sweep,120,optimizer.alpha,0.0001,9.072,4164.6
7,transfer_sweep,DQN-FTA-transfer-sweep,125,optimizer.alpha,0.0003,9.71,5380.0
8,transfer_sweep,DQN-FTA-transfer-sweep,130,optimizer.alpha,0.0003,9.804,6090.8
9,transfer_sweep,DQN-FTA-transfer-sweep,135,optimizer.alpha,0.0001,9.770000000000001,5895.2
10,transfer_sweep,DQN-FTA-transfer-sweep,140,optimizer.alpha,0.0001,9.822,7353.2
11,transfer_sweep,DQN-FTA-transfer-sweep,145,optimizer.alpha,0.0001,9.862,6378.8
12,transfer_sweep,DQN-FTA-transfer-sweep,15,optimizer.alpha,0.0003,9.978,5744.2
13,transfer_sweep,DQN-FTA-transfer-sweep,150,optimizer.alpha,0.0001,9.575999999999999,5185.4
14,transfer_sweep,DQN-FTA-transfer-sweep,155,optimizer.alpha,0.0001,9.278,4245.0
15,transfer_sweep,DQN-FTA-transfer-sweep,160,optimizer.alpha,0.0001,9.797999999999998,6052.4
16,transfer_sweep,DQN-FTA-transfer-sweep,165,optimizer.alpha,0.001,9.66,5035.8
17,transfer_sweep,DQN-FTA-transfer-sweep,170,optimizer.alpha,0.0001,9.261999999999999,4256.8
18,transfer_sweep,DQN-FTA-transfer-sweep,20,optimizer.alpha,0.001,9.852,6730.2
19,transfer_sweep,DQN-FTA-transfer-sweep,25,optimizer.alpha,0.0003,9.838,5721.2
20,transfer_sweep,DQN-FTA-transfer-sweep,30,optimizer.alpha,0.0003,9.815999999999999,5956.4
21,transfer_sweep,DQN-FTA-transfer-sweep,35,optimizer.alpha,0.0003,9.818000000000001,6139.0
22,transfer_sweep,DQN-FTA-transfer-sweep,40,optimizer.alpha,0.001,9.966,8330.2
23,transfer_sweep,DQN-FTA-transfer-sweep,45,optimizer.alpha,0.001,9.814,6762.0
24,transfer_sweep,DQN-FTA-transfer-sweep,5,optimizer.alpha,0.0003,9.918000000000001,4775.6
25,transfer_sweep,DQN-FTA-transfer-sweep,50,optimizer.alpha,0.0001,9.972,8628.2
26,transfer_sweep,DQN-FTA-transfer-sweep,55,optimizer.alpha,0.001,9.942,7941.6
27,transfer_sweep,DQN-FTA-transfer-sweep,60,optimizer.alpha,0.0003,9.728,6341.6
28,transfer_sweep,DQN-FTA-transfer-sweep,65,optimizer.alpha,0.0003,9.964000000000002,7300.0
29,transfer_sweep,DQN-FTA-transfer-sweep,70,optimizer.alpha,0.0003,9.902,9384.2
30,transfer_sweep,DQN-FTA-transfer-sweep,75,optimizer.alpha,0.0003,9.652,6208.6
31,transfer_sweep,DQN-FTA-transfer-sweep,80,optimizer.alpha,0.0003,9.906,7079.6
32,transfer_sweep,DQN-FTA-transfer-sweep,85,optimizer.alpha,0.0003,9.282,4717.4
33,transfer_sweep,DQN-FTA-transfer-sweep,90,optimizer.alpha,0.0001,9.838,8316.0
34,transfer_sweep,DQN-FTA-transfer-sweep,95,optimizer.alpha,0.001,9.446000000000002,5710.6
