,Environment,Algorithm,Goal,Seed,AUC,Experiment
0,transfer,DQN-ReLU-transfer-101,102,0,9.23,DQN-ReLU-transfer
1,transfer,DQN-ReLU-transfer-101,102,3,8.4,DQN-ReLU-transfer
2,transfer,DQN-ReLU-transfer-101,102,1,8.17,DQN-ReLU-transfer
3,transfer,DQN-ReLU-transfer-101,102,4,8.41,DQN-ReLU-transfer
4,transfer,DQN-ReLU-transfer-101,102,2,5.08,DQN-ReLU-transfer
5,transfer,DQN-ReLU-transfer-160,161,4,6.53,DQN-ReLU-transfer
6,transfer,DQN-ReLU-transfer-160,161,1,6.61,DQN-ReLU-transfer
7,transfer,DQN-ReLU-transfer-160,161,3,9.37,DQN-ReLU-transfer
8,transfer,DQN-ReLU-transfer-160,161,0,8.24,DQN-ReLU-transfer
9,transfer,DQN-ReLU-transfer-160,161,2,6.79,DQN-ReLU-transfer
10,transfer,DQN-ReLU-vf5-transfer-65,66,3,9.03,DQN-ReLU-vf5-transfer
11,transfer,DQN-ReLU-vf5-transfer-65,66,0,9.98,DQN-ReLU-vf5-transfer
12,transfer,DQN-ReLU-vf5-transfer-65,66,1,9.83,DQN-ReLU-vf5-transfer
13,transfer,DQN-ReLU-vf5-transfer-65,66,2,9.72,DQN-ReLU-vf5-transfer
14,transfer,DQN-ReLU-vf5-transfer-65,66,4,9.96,DQN-ReLU-vf5-transfer
15,transfer,DQN-ReLU-transfer-141,142,2,8.690000000000001,DQN-ReLU-transfer
16,transfer,DQN-ReLU-transfer-141,142,4,8.82,DQN-ReLU-transfer
17,transfer,DQN-ReLU-transfer-141,142,0,9.55,DQN-ReLU-transfer
18,transfer,DQN-ReLU-transfer-141,142,3,9.33,DQN-ReLU-transfer
19,transfer,DQN-ReLU-transfer-141,142,1,8.31,DQN-ReLU-transfer
20,transfer,DQN-ReLU-vf5-transfer-133,134,2,9.08,DQN-ReLU-vf5-transfer
21,transfer,DQN-ReLU-vf5-transfer-133,134,0,9.84,DQN-ReLU-vf5-transfer
22,transfer,DQN-ReLU-vf5-transfer-133,134,4,9.89,DQN-ReLU-vf5-transfer
23,transfer,DQN-ReLU-vf5-transfer-133,134,3,9.78,DQN-ReLU-vf5-transfer
24,transfer,DQN-ReLU-vf5-transfer-133,134,1,9.41,DQN-ReLU-vf5-transfer
25,transfer,DQN-ReLU-vf5-transfer-25,26,2,10.0,DQN-ReLU-vf5-transfer
