Unnamed: 0,Environment,Algorithm,Hyperparameter,Value,AUC,Return,Successes
0,t_maze_drqn_12_use_all_steps_hyper_sweep,TMaze-DRQN-12-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.0864,38865.81999999999,0.971563981042654
1,t_maze_drqn_12_use_all_steps_hyper_sweep,TMaze-DRQN-12-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.0864,38865.81999999999,0.9609929078014184
2,t_maze_drqn_12_use_all_steps_hyper_sweep,TMaze-DRQN-12-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.0864,38865.81999999999,0.9605582524271844
3,t_maze_drqn_12_use_all_steps_hyper_sweep,TMaze-DRQN-12-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.0864,38865.81999999999,0.9670828603859252
4,t_maze_drqn_12_use_all_steps_hyper_sweep,TMaze-DRQN-12-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.0864,38865.81999999999,0.9706411024565608
0,t_maze_drqn_12_hyper_sweep,TMaze-DRQN-12-hyper-sweep,optimizer.alpha,0.001,67.38879999999999,39166.8,0.960046323103648
1,t_maze_drqn_12_hyper_sweep,TMaze-DRQN-12-hyper-sweep,optimizer.alpha,0.001,67.38879999999999,39166.8,0.9730033745781778
2,t_maze_drqn_12_hyper_sweep,TMaze-DRQN-12-hyper-sweep,optimizer.alpha,0.001,67.38879999999999,39166.8,0.9747530186608124
3,t_maze_drqn_12_hyper_sweep,TMaze-DRQN-12-hyper-sweep,optimizer.alpha,0.001,67.38879999999999,39166.8,0.966396292004635
4,t_maze_drqn_12_hyper_sweep,TMaze-DRQN-12-hyper-sweep,optimizer.alpha,0.001,67.38879999999999,39166.8,0.9698692438885732
0,t_maze_drqn_1_hyper_sweep,TMaze-DRQN-1-hyper-sweep,optimizer.alpha,0.001,26.887999999999995,17114.619999999988,0.6051220964860036
1,t_maze_drqn_1_hyper_sweep,TMaze-DRQN-1-hyper-sweep,optimizer.alpha,0.001,26.887999999999995,17114.619999999988,0.5065292096219931
2,t_maze_drqn_1_hyper_sweep,TMaze-DRQN-1-hyper-sweep,optimizer.alpha,0.001,26.887999999999995,17114.619999999988,0.9103596349973162
3,t_maze_drqn_1_hyper_sweep,TMaze-DRQN-1-hyper-sweep,optimizer.alpha,0.001,26.887999999999995,17114.619999999988,0.901431718061674
4,t_maze_drqn_1_hyper_sweep,TMaze-DRQN-1-hyper-sweep,optimizer.alpha,0.001,26.887999999999995,17114.619999999988,0.949528563505269
0,t_maze_drqn_24_use_all_steps_hyper_sweep,TMaze-DRQN-24-use-all-steps-hyper-sweep,optimizer.alpha,0.0001,64.088,35175.74,0.9717208182912154
1,t_maze_drqn_24_use_all_steps_hyper_sweep,TMaze-DRQN-24-use-all-steps-hyper-sweep,optimizer.alpha,0.0001,64.088,35175.74,0.974510966212211
2,t_maze_drqn_24_use_all_steps_hyper_sweep,TMaze-DRQN-24-use-all-steps-hyper-sweep,optimizer.alpha,0.0001,64.088,35175.74,0.9710743801652892
3,t_maze_drqn_24_use_all_steps_hyper_sweep,TMaze-DRQN-24-use-all-steps-hyper-sweep,optimizer.alpha,0.0001,64.088,35175.74,0.9738339021615472
4,t_maze_drqn_24_use_all_steps_hyper_sweep,TMaze-DRQN-24-use-all-steps-hyper-sweep,optimizer.alpha,0.0001,64.088,35175.74,0.9686323713927228
0,t_maze_drqn_6_hyper_sweep,TMaze-DRQN-6-hyper-sweep,optimizer.alpha,0.001,65.2256,38577.079999999994,0.9654088050314464
1,t_maze_drqn_6_hyper_sweep,TMaze-DRQN-6-hyper-sweep,optimizer.alpha,0.001,65.2256,38577.079999999994,0.9379932356257046
2,t_maze_drqn_6_hyper_sweep,TMaze-DRQN-6-hyper-sweep,optimizer.alpha,0.001,65.2256,38577.079999999994,0.9701657458563536
3,t_maze_drqn_6_hyper_sweep,TMaze-DRQN-6-hyper-sweep,optimizer.alpha,0.001,65.2256,38577.079999999994,0.9306608884073672
4,t_maze_drqn_6_hyper_sweep,TMaze-DRQN-6-hyper-sweep,optimizer.alpha,0.001,65.2256,38577.079999999994,0.9601507808292946
0,t_maze_drqn_24_hyper_sweep,TMaze-DRQN-24-hyper-sweep,optimizer.alpha,0.001,66.27479999999998,37431.719999999994,0.9648526077097506
1,t_maze_drqn_24_hyper_sweep,TMaze-DRQN-24-hyper-sweep,optimizer.alpha,0.001,66.27479999999998,37431.719999999994,0.9694524495677234
2,t_maze_drqn_24_hyper_sweep,TMaze-DRQN-24-hyper-sweep,optimizer.alpha,0.001,66.27479999999998,37431.719999999994,0.9692028985507246
3,t_maze_drqn_24_hyper_sweep,TMaze-DRQN-24-hyper-sweep,optimizer.alpha,0.001,66.27479999999998,37431.719999999994,0.981764705882353
4,t_maze_drqn_24_hyper_sweep,TMaze-DRQN-24-hyper-sweep,optimizer.alpha,0.001,66.27479999999998,37431.719999999994,0.9710815500289184
0,t_maze_drqn_6_use_all_steps_hyper_sweep,TMaze-DRQN-6-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.43700000000001,39960.719999999994,0.9432855280312908
1,t_maze_drqn_6_use_all_steps_hyper_sweep,TMaze-DRQN-6-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.43700000000001,39960.719999999994,0.9717314487632508
2,t_maze_drqn_6_use_all_steps_hyper_sweep,TMaze-DRQN-6-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.43700000000001,39960.719999999994,0.9696117051209904
3,t_maze_drqn_6_use_all_steps_hyper_sweep,TMaze-DRQN-6-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.43700000000001,39960.719999999994,0.9591115598182736
4,t_maze_drqn_6_use_all_steps_hyper_sweep,TMaze-DRQN-6-use-all-steps-hyper-sweep,optimizer.alpha,0.001,67.43700000000001,39960.719999999994,0.9546742209631728
0,t_maze_dqn_hyper_sweep,TMaze-DQN-hyper-sweep,optimizer.alpha,3e-05,12.258,9358.2,0.4924827305973182
1,t_maze_dqn_hyper_sweep,TMaze-DQN-hyper-sweep,optimizer.alpha,3e-05,12.258,9358.2,0.488816592110614
2,t_maze_dqn_hyper_sweep,TMaze-DQN-hyper-sweep,optimizer.alpha,3e-05,12.258,9358.2,0.483779399837794
3,t_maze_dqn_hyper_sweep,TMaze-DQN-hyper-sweep,optimizer.alpha,3e-05,12.258,9358.2,0.5087079789388417
4,t_maze_dqn_hyper_sweep,TMaze-DQN-hyper-sweep,optimizer.alpha,3e-05,12.258,9358.2,0.5062626262626263
0,memory_drqn_hyper_sweep,Memory-DRQN-hyper-sweep-32,optimizer.alpha,0.0001,-258.96081174570685,-29648.299999999897,1.0
1,memory_drqn_hyper_sweep,Memory-DRQN-hyper-sweep-32-binary-reward-norm-6,optimizer.alpha,0.0001,15.452631578947368,26748.0,0.4956822107081174
2,memory_drqn_hyper_sweep,Memory-DRQN-hyper-sweep-32-norm-6,optimizer.alpha,1e-05,-54.224076013513425,-25752.19999999999,1.0
0,t_maze_drqn_simple_12_hyper_sweep,TMaze-DRQN-simple-12-hyper-sweep,optimizer.alpha,0.001,65.30819999999999,37327.03999999999,0.9648326715825298
1,t_maze_drqn_simple_12_hyper_sweep,TMaze-DRQN-simple-12-hyper-sweep,optimizer.alpha,0.001,65.30819999999999,37327.03999999999,0.9668691330756488
2,t_maze_drqn_simple_12_hyper_sweep,TMaze-DRQN-simple-12-hyper-sweep,optimizer.alpha,0.001,65.30819999999999,37327.03999999999,0.971412864211105
3,t_maze_drqn_simple_12_hyper_sweep,TMaze-DRQN-simple-12-hyper-sweep,optimizer.alpha,0.001,65.30819999999999,37327.03999999999,0.9627293577981652
4,t_maze_drqn_simple_12_hyper_sweep,TMaze-DRQN-simple-12-hyper-sweep,optimizer.alpha,0.001,65.30819999999999,37327.03999999999,0.973568281938326
