,Environment,Algorithm,Hyperparameter,Value,AUC,Return,Successes
0,t_maze_dqn_hyper_sweep,TMaze-DQN-hyper-sweep,optimizer.alpha,0.0003,12.595400000000001,9518.880000000001,0.5037707637375307
1,t_maze_drqn_hyper_sweep,TMaze-DRQN-32-1-hyper-sweep,optimizer.alpha,0.001,32.7416,20009.4,0.7638154781933166
2,t_maze_drqn_hyper_sweep,TMaze-DRQN-2-16-hyper-sweep,optimizer.alpha,0.001,66.7734,38528.979999999996,0.9724044321962195
3,t_maze_drqn_hyper_sweep,TMaze-DRQN-1-32-hyper-sweep,optimizer.alpha,0.001,65.83160000000001,38089.619999999995,0.9696896976780487
4,t_maze_drqn_hyper_sweep,TMaze-DRQN-4-8-hyper-sweep,optimizer.alpha,0.001,64.7474,38020.81999999999,0.9721511660789887
5,t_maze_drqn_hyper_sweep,TMaze-DRQN-8-4-hyper-sweep,optimizer.alpha,0.001,51.7016,31313.859999999997,0.8799864951572861
6,t_maze_drqn_hyper_sweep,TMaze-DRQN-16-2-hyper-sweep,optimizer.alpha,0.001,37.71079999999999,21809.839999999997,0.7519959263464007
7,t_maze_drqn_use_all_steps_hyper_sweep,TMaze-DRQN-use-all-steps-2-16-hyper-sweep,optimizer.alpha,0.001,68.08059999999998,40138.27999999999,0.9732560992988404
8,t_maze_drqn_use_all_steps_hyper_sweep,TMaze-DRQN-use-all-steps-4-8-hyper-sweep,optimizer.alpha,0.001,66.24479999999998,41079.479999999996,0.9387843257889404
9,t_maze_drqn_use_all_steps_hyper_sweep,TMaze-DRQN-use-all-steps-16-2-hyper-sweep,optimizer.alpha,0.0003,20.989799999999992,12627.199999999993,0.6977361371899784
10,t_maze_drqn_use_all_steps_hyper_sweep,TMaze-DRQN-use-all-steps-1-32-hyper-sweep,optimizer.alpha,0.0001,67.50179999999999,39027.64,0.9749816270153193
11,t_maze_drqn_use_all_steps_hyper_sweep,TMaze-DRQN-use-all-steps-32-1-hyper-sweep,optimizer.alpha,0.001,32.7416,20009.4,0.7638154781933166
12,t_maze_drqn_use_all_steps_hyper_sweep,TMaze-DRQN-use-all-steps-8-4-hyper-sweep,optimizer.alpha,0.0001,50.6262,28246.33999999999,0.8957908665976311
13,t_maze_drqn_fta_hyper_sweep,TMaze-DRQN-fta-8-4-hyper-sweep,optimizer.alpha,0.0001,56.67539999999999,30077.679999999993,0.9734498211931839
14,t_maze_drqn_fta_hyper_sweep,TMaze-DRQN-fta-32-1-hyper-sweep,optimizer.alpha,0.001,46.1272,28592.339999999997,0.8358232542721791
15,t_maze_drqn_fta_hyper_sweep,TMaze-DRQN-fta-4-8-hyper-sweep,optimizer.alpha,0.001,60.66459999999999,37048.34,0.9498993297770996
16,t_maze_drqn_fta_hyper_sweep,TMaze-DRQN-fta-1-32-hyper-sweep,optimizer.alpha,0.001,65.3218,39478.9,0.9667034543667803
17,t_maze_drqn_fta_hyper_sweep,TMaze-DRQN-fta-16-2-hyper-sweep,optimizer.alpha,0.0003,57.956999999999994,32579.359999999997,0.9365007865320992
18,t_maze_drqn_fta_hyper_sweep,TMaze-DRQN-fta-2-16-hyper-sweep,optimizer.alpha,0.001,67.28299999999999,39910.479999999996,0.9682580958045077
19,t_maze_drqn_fta_use_all_steps_hyper_sweep,TMaze-DRQN-fta-use-all-steps-16-2-hyper-sweep,optimizer.alpha,0.0003,56.08739999999999,31833.73999999999,0.924413454219531
20,t_maze_drqn_fta_use_all_steps_hyper_sweep,TMaze-DRQN-fta-use-all-steps-8-4-hyper-sweep,optimizer.alpha,0.001,59.58019999999999,37078.84,0.8792348122394122
21,t_maze_drqn_fta_use_all_steps_hyper_sweep,TMaze-DRQN-fta-use-all-steps-2-16-hyper-sweep,optimizer.alpha,0.001,67.55119999999997,38882.03999999999,0.9740292120094363
22,t_maze_drqn_fta_use_all_steps_hyper_sweep,TMaze-DRQN-fta-use-all-steps-32-1-hyper-sweep,optimizer.alpha,0.001,46.1272,28592.339999999997,0.8358232542721791
23,t_maze_drqn_fta_use_all_steps_hyper_sweep,TMaze-DRQN-fta-use-all-steps-1-32-hyper-sweep,optimizer.alpha,0.001,67.6214,38995.83999999999,0.9759174923957094
24,t_maze_drqn_fta_use_all_steps_hyper_sweep,TMaze-DRQN-fta-use-all-steps-4-8-hyper-sweep,optimizer.alpha,0.001,66.6258,40127.88,0.9752902086804962
25,t_maze_dqn_fta_hyper_sweep,TMaze-DQN-fta-hyper-sweep,optimizer.alpha,0.0003,11.960400000000003,9266.340000000002,0.49814950635039645
