,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
0,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-105,105,optimizer.alpha,0.0001,7.969999999999999,3589.6,1.0
1,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-155,155,optimizer.alpha,0.0003,7.426,3198.8,1.0
2,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-145,145,optimizer.alpha,0.0001,8.856,5787.6,1.0
3,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-145,145,optimizer.alpha,0.0003,8.544,5437.4,1.0
4,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-75,75,optimizer.alpha,0.0001,8.738,5473.6,1.0
5,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-85,85,optimizer.alpha,0.0003,8.162,3928.0,1.0
6,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-80,80,optimizer.alpha,0.0003,9.488000000000001,6614.4,1.0
7,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-0,0,optimizer.alpha,0.0003,7.694,2997.8,1.0
8,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-135,135,optimizer.alpha,0.0003,8.762,5171.4,1.0
9,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-0,0,optimizer.alpha,0.0001,7.927999999999999,3141.8,1.0
10,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-110,110,optimizer.alpha,0.0003,9.056000000000001,7534.0,1.0
11,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-35,35,optimizer.alpha,0.0003,8.586,5122.0,1.0
12,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-70,70,optimizer.alpha,0.0001,9.396,8595.8,1.0
13,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-170,170,optimizer.alpha,0.0001,8.354000000000001,3783.2,0.9996124031007753
14,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-115,115,optimizer.alpha,0.0001,8.248,3430.8,1.0
15,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-160,160,optimizer.alpha,0.0001,8.994000000000002,5519.4,1.0
16,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-165,165,optimizer.alpha,0.0003,7.837999999999999,3858.4,1.0
17,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-95,95,optimizer.alpha,0.0003,9.065999999999999,5272.0,1.0
18,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-20,20,optimizer.alpha,0.0001,8.586,5687.4,1.0
19,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-115,115,optimizer.alpha,0.0001,7.9239999999999995,3232.8,1.0
20,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-80,80,optimizer.alpha,0.0001,9.126000000000001,6473.0,1.0
21,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-10,10,optimizer.alpha,0.0001,8.55,3600.4,1.0
22,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-105,105,optimizer.alpha,0.0001,7.958,3632.8,1.0
23,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-100,100,optimizer.alpha,0.0003,8.352,3874.0,0.9996078431372549
24,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-170,170,optimizer.alpha,0.0003,8.418,3716.8,1.0
25,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-120,120,optimizer.alpha,0.0003,7.686,3352.8,1.0
26,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-160,160,optimizer.alpha,0.0003,8.506,5092.8,1.0
27,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-125,125,optimizer.alpha,0.0001,8.15,4360.2,1.0
28,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-70,70,optimizer.alpha,0.0003,9.466,8647.8,1.0
29,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-140,140,optimizer.alpha,0.0001,9.236,6819.6,1.0
30,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-25,25,optimizer.alpha,0.0003,8.616,4684.4,1.0
31,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-100,100,optimizer.alpha,0.0001,8.228,3871.0,1.0
32,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-130,130,optimizer.alpha,0.0003,8.994,5452.0,1.0
33,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-30,30,optimizer.alpha,0.0001,7.860000000000001,4409.8,1.0
34,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-40,40,optimizer.alpha,0.0001,9.028000000000002,7287.4,1.0
35,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-130,130,optimizer.alpha,0.0001,9.096,5529.8,1.0
36,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-65,65,optimizer.alpha,0.0001,8.718,6222.6,1.0
37,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-65,65,optimizer.alpha,0.0003,8.974,6445.6,1.0
38,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-140,140,optimizer.alpha,0.0003,9.006,6513.2,1.0
39,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-45,45,optimizer.alpha,0.0001,9.34,6200.8,1.0
40,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-50,50,optimizer.alpha,0.0003,9.266,8037.2,1.0
41,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-90,90,optimizer.alpha,0.0003,9.046000000000001,7448.2,1.0
42,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-40,40,optimizer.alpha,0.0003,9.044,7152.8,1.0
43,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-15,15,optimizer.alpha,0.0001,9.032,5047.8,1.0
44,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-5,5,optimizer.alpha,0.0001,8.150000000000002,3808.0,1.0
