,Environment,Algorithm,Goal,Steps,Run,AUC,Return,Successes
0,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-115,115,100000,0,7.16,3005.0,1.0
1,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-115,115,100000,3,8.969999999999999,3638.0,1.0
2,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-115,115,100000,1,9.24,3864.0,1.0
3,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-115,115,100000,4,8.469999999999999,3555.0,0.9956521739130436
4,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-115,115,100000,2,8.34,3315.0,1.0
5,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-120,120,100000,0,9.12,4112.0,1.0
6,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-120,120,100000,3,8.97,4017.0,1.0
7,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-120,120,100000,4,9.14,4163.0,1.0
8,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-120,120,100000,1,7.83,3503.0,1.0
9,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-120,120,100000,2,9.24,4037.0,1.0
10,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-165,165,100000,3,8.41,4125.0,1.0
11,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-165,165,100000,0,9.02,4340.0,1.0
12,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-165,165,100000,1,8.19,3962.0,1.0
13,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-165,165,100000,4,9.1,4392.0,1.0
14,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-165,165,100000,2,9.0,4143.0,1.0
15,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-135,135,100000,3,9.44,5629.0,1.0
16,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-135,135,100000,0,7.46,4270.0,1.0
17,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-135,135,100000,1,9.36,5699.0,1.0
18,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-135,135,100000,4,9.09,5347.0,1.0
19,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-135,135,100000,2,8.59,5045.0,1.0
20,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-20,20,100000,3,9.67,6132.0,1.0
21,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-20,20,100000,0,9.2,5963.0,1.0
22,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-20,20,100000,1,8.72,5659.0,1.0
23,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-20,20,100000,4,9.19,5807.0,1.0
24,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-20,20,100000,2,9.2,5657.0,1.0
25,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-40,40,100000,0,9.23,7586.0,0.9988571428571428
26,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-40,40,100000,3,9.98,7965.0,1.0
27,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-40,40,100000,4,10.0,8008.0,1.0
28,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-40,40,100000,1,9.74,7918.0,1.0
29,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-40,40,100000,2,10.0,8247.0,1.0
30,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-15,15,100000,0,9.87,5533.0,1.0
31,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-15,15,100000,3,9.16,5316.0,1.0
32,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-15,15,100000,4,9.82,5484.0,1.0
33,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-15,15,100000,1,9.33,5406.0,1.0
34,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-15,15,100000,2,9.99,5621.0,1.0
35,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-105,105,100000,3,9.12,4075.0,1.0
36,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-105,105,100000,0,9.14,4220.0,1.0
37,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-105,105,100000,4,8.870000000000001,4012.0,1.0
38,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-105,105,100000,1,9.23,4098.0,1.0
39,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-105,105,100000,2,9.25,3981.0,1.0
40,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-5,5,100000,3,9.57,4287.0,1.0
41,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-5,5,100000,0,8.49,3924.0,1.0
42,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-5,5,100000,4,9.22,4178.0,1.0
43,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-5,5,100000,1,9.52,4526.0,1.0
44,gridworld_drqn_2_16_transfer,DRQNAux-FTA-Gridworld-5,5,100000,2,8.98,3988.0,1.0
45,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-20,20,100000,3,9.18,6133.0,1.0
