,algorithm,seed,Raw Complexity Reduction,Dynamics Awareness,Diversity,Orthogonality,Sparsity,Complexity Reduction
0,DRQN-FTA-Gridworld,0,0.011146835,0.602045476436615,0.714208779717456,0.6207535266876221,0.85,0.9260599
1,DRQN-FTA-Gridworld,1,0.013914604,0.5893812477588654,0.690798785082809,0.4802469313144684,0.85,0.90770054
2,DRQN-FTA-Gridworld,2,0.011292072,0.6137725710868835,0.719066771155118,0.5624100565910339,0.85,0.9250965
3,DRQN-FTA-Gridworld,3,0.010784564,0.6172007322311401,0.7012405319558392,0.5464285612106323,0.85,0.928463
4,DRQN-FTA-Gridworld,4,0.012877462,0.6048884391784668,0.6949357127553096,0.5273736119270325,0.85,0.91458017
5,DRQN-ReLU-Gridworld,0,0.07480642,0.838997945189476,0.5638877247913834,0.13122723996639252,0.3515,0.50378793
6,DRQN-ReLU-Gridworld,1,0.14600116,0.7392871975898743,0.47514739827307506,0.04539187252521515,0.61728125,0.03153318
7,DRQN-ReLU-Gridworld,2,0.115479484,0.8056516200304031,0.338621454209986,0.14859704673290253,0.58803125,0.23399204
8,DRQN-ReLU-Gridworld,3,0.15075494,0.804376870393753,0.4209688471175187,0.19288994371891022,0.67584375,0.0
9,DRQN-ReLU-Gridworld,4,0.10614565,0.817662850022316,0.45313753611299723,0.09933159500360489,0.494125,0.295906
10,DRQNAux-FTA-Gridworld,0,0.012801628,0.5863060355186462,0.6944542930927835,0.568639874458313,0.85,0.91508317
11,DRQNAux-FTA-Gridworld,1,0.013373107,0.5831743478775024,0.6656289120061326,0.47285205125808716,0.85,0.91129243
12,DRQNAux-FTA-Gridworld,2,0.013087309,0.586729884147644,0.6862859973679766,0.5334006547927856,0.85,0.9131882
13,DRQNAux-FTA-Gridworld,3,0.012309468,0.5886723101139069,0.7003507693477682,0.5384343266487122,0.85,0.91834784
14,DRQNAux-FTA-Gridworld,4,0.012856352,0.5935254395008087,0.6782082113309729,0.5679267644882202,0.85,0.9147202
15,DRQNAux-ReLU-Gridworld,0,0.080023386,0.8218949884176254,0.49775821384777186,0.2317953258752823,0.52078125,0.46918237
16,DRQNAux-ReLU-Gridworld,1,0.06596967,0.8025474846363068,0.5718962930861642,0.16168168187141418,0.4084375,0.56240463
17,DRQNAux-ReLU-Gridworld,2,0.07203744,0.8030427843332291,0.565168288846093,0.20390234887599945,0.50571875,0.52215534
18,DRQNAux-ReLU-Gridworld,3,0.06991841,0.82078617811203,0.5680363620808337,0.6308066248893738,0.7679375,0.5362115
19,DRQNAux-ReLU-Gridworld,4,0.07446744,0.8070231378078461,0.5638539550097968,0.2277485579252243,0.514625,0.5060365
