,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
0,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-125,125,optimizer.alpha,0.0003,1.19,130.4,0.0927589443422093
1,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-0,0,optimizer.alpha,3e-05,6.276,1204.8,0.696856931060599
2,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-120,120,optimizer.alpha,0.001,8.848,2981.8,0.9764399902643011
3,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-10,10,optimizer.alpha,0.0003,6.731999999999999,1323.0,0.6959432707487088
4,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-130,130,optimizer.alpha,0.003,9.616,4617.0,0.9912916814923112
5,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-100,100,optimizer.alpha,0.0001,2.5520000000000005,319.2,0.2659050360915401
6,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-135,135,optimizer.alpha,0.001,9.006,3974.6,0.9818000722685714
7,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-105,105,optimizer.alpha,0.001,9.062000000000001,2879.2,0.9526583546862334
8,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-155,155,optimizer.alpha,0.0003,4.64,841.0,0.5437513048444523
9,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-110,110,optimizer.alpha,0.001,9.636,5869.0,0.9903504866827596
10,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-160,160,optimizer.alpha,0.001,9.248000000000001,4322.2,0.986882901228935
11,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-115,115,optimizer.alpha,3e-05,2.4539999999999997,306.0,0.2740095447959779
12,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-165,165,optimizer.alpha,0.001,5.569999999999999,1061.0,0.4536787441817783
13,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-120,120,optimizer.alpha,0.0001,8.658,2782.2,0.9653842038508882
14,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-170,170,optimizer.alpha,0.003,4.691999999999999,738.0,0.5369820346459988
15,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-125,125,optimizer.alpha,1e-05,1.4680000000000004,198.2,0.14717996173623904
16,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-20,20,optimizer.alpha,0.0003,6.958,1585.8,0.6940264680968004
