,Environment,Algorithm,Goal,Steps,Run,AUC,Return,Successes
0,gridworldpartial_transfer,DQN-ReLU-Gridworld-125,125,100000,0,1.25,141.0,0.08411214953271028
1,gridworldpartial_transfer,DQN-ReLU-Gridworld-125,125,100000,3,1.6600000000000001,200.0,0.13274336283185842
2,gridworldpartial_transfer,DQN-ReLU-Gridworld-125,125,100000,1,0.9,95.0,0.09174311926605505
3,gridworldpartial_transfer,DQN-ReLU-Gridworld-125,125,100000,4,1.1600000000000001,119.0,0.1
4,gridworldpartial_transfer,DQN-ReLU-Gridworld-125,125,100000,2,1.03,120.0,0.1724137931034483
5,gridworldpartial_transfer,DQN-FTA-Gridworld-0,0,100000,3,4.959999999999999,970.0,0.7058823529411765
6,gridworldpartial_transfer,DQN-FTA-Gridworld-0,0,100000,0,6.33,1242.0,0.654639175257732
7,gridworldpartial_transfer,DQN-FTA-Gridworld-0,0,100000,4,6.03,1149.0,0.7366071428571429
8,gridworldpartial_transfer,DQN-FTA-Gridworld-0,0,100000,1,6.680000000000001,1318.0,0.7351598173515982
9,gridworldpartial_transfer,DQN-FTA-Gridworld-0,0,100000,2,6.9399999999999995,1459.0,0.7116279069767442
10,gridworldpartial_transfer,DQN-ReLU-Gridworld-120,120,100000,3,9.259999999999998,3099.0,0.9726775956284153
11,gridworldpartial_transfer,DQN-ReLU-Gridworld-120,120,100000,0,9.520000000000001,3150.0,0.9553571428571429
12,gridworldpartial_transfer,DQN-ReLU-Gridworld-120,120,100000,1,7.63,2341.0,0.9814323607427056
13,gridworldpartial_transfer,DQN-ReLU-Gridworld-120,120,100000,4,8.049999999999999,2711.0,0.967828418230563
14,gridworldpartial_transfer,DQN-ReLU-Gridworld-120,120,100000,2,9.5,3129.0,0.9724517906336089
15,gridworldpartial_transfer,DQN-FTA-Gridworld-10,10,100000,0,6.6499999999999995,1487.0,0.740909090909091
16,gridworldpartial_transfer,DQN-FTA-Gridworld-10,10,100000,3,6.16,1215.0,0.7
17,gridworldpartial_transfer,DQN-FTA-Gridworld-10,10,100000,4,6.38,1245.0,0.675
18,gridworldpartial_transfer,DQN-FTA-Gridworld-10,10,100000,1,6.53,1304.0,0.6866359447004609
19,gridworldpartial_transfer,DQN-FTA-Gridworld-10,10,100000,2,6.910000000000001,1486.0,0.6598984771573604
20,gridworldpartial_transfer,DQN-ReLU-Gridworld-130,130,100000,0,9.040000000000001,4045.0,0.9861111111111112
21,gridworldpartial_transfer,DQN-ReLU-Gridworld-130,130,100000,3,1.5999999999999996,175.0,0.13761467889908258
22,gridworldpartial_transfer,DQN-ReLU-Gridworld-130,130,100000,1,9.200000000000001,4078.0,0.992
23,gridworldpartial_transfer,DQN-ReLU-Gridworld-130,130,100000,4,7.79,3268.0,0.9959839357429718
24,gridworldpartial_transfer,DQN-ReLU-Gridworld-130,130,100000,2,9.430000000000001,4633.0,0.9789473684210527
25,gridworldpartial_transfer,DQN-FTA-Gridworld-100,100,100000,3,2.2700000000000005,275.0,0.1864406779661017
26,gridworldpartial_transfer,DQN-FTA-Gridworld-100,100,100000,0,2.36,298.0,0.2878787878787879
27,gridworldpartial_transfer,DQN-FTA-Gridworld-100,100,100000,4,2.8300000000000005,363.0,0.18421052631578946
28,gridworldpartial_transfer,DQN-FTA-Gridworld-100,100,100000,1,2.2,280.0,0.2727272727272727
29,gridworldpartial_transfer,DQN-FTA-Gridworld-100,100,100000,2,1.96,246.0,0.2440944881889764
30,gridworldpartial_transfer,DQN-ReLU-Gridworld-135,135,100000,0,9.5,4080.0,0.9861386138613861
31,gridworldpartial_transfer,DQN-ReLU-Gridworld-135,135,100000,3,8.83,3924.0,0.9840637450199203
32,gridworldpartial_transfer,DQN-ReLU-Gridworld-135,135,100000,4,9.19,4117.0,0.9789473684210527
33,gridworldpartial_transfer,DQN-ReLU-Gridworld-135,135,100000,1,7.77,3146.0,0.9811320754716981
34,gridworldpartial_transfer,DQN-ReLU-Gridworld-135,135,100000,2,8.84,3977.0,0.9961538461538462
35,gridworldpartial_transfer,DQN-FTA-Gridworld-105,105,100000,0,8.32,2092.0,0.9
36,gridworldpartial_transfer,DQN-FTA-Gridworld-105,105,100000,3,9.43,3076.0,0.9872122762148338
37,gridworldpartial_transfer,DQN-FTA-Gridworld-105,105,100000,4,9.02,3113.0,0.9596541786743515
38,gridworldpartial_transfer,DQN-FTA-Gridworld-105,105,100000,1,9.260000000000002,2992.0,0.9740634005763689
39,gridworldpartial_transfer,DQN-FTA-Gridworld-105,105,100000,2,9.15,2889.0,0.928082191780822
40,gridworldpartial_transfer,DQN-ReLU-Gridworld-155,155,100000,0,6.160000000000001,1288.0,0.41304347826086957
41,gridworldpartial_transfer,DQN-ReLU-Gridworld-155,155,100000,3,5.819999999999999,1188.0,0.4492753623188406
42,gridworldpartial_transfer,DQN-ReLU-Gridworld-155,155,100000,4,5.9,1379.0,0.8709677419354839
43,gridworldpartial_transfer,DQN-ReLU-Gridworld-155,155,100000,1,4.95,835.0,0.46206896551724136
44,gridworldpartial_transfer,DQN-ReLU-Gridworld-155,155,100000,2,5.59,1153.0,0.35658914728682173
45,gridworldpartial_transfer,DQN-FTA-Gridworld-110,110,100000,3,9.709999999999999,6104.0,0.9942196531791907
46,gridworldpartial_transfer,DQN-FTA-Gridworld-110,110,100000,0,9.41,5819.0,0.9943100995732574
47,gridworldpartial_transfer,DQN-FTA-Gridworld-110,110,100000,1,9.89,6109.0,0.9940828402366864
48,gridworldpartial_transfer,DQN-FTA-Gridworld-110,110,100000,4,9.91,6506.0,0.9970845481049563
49,gridworldpartial_transfer,DQN-FTA-Gridworld-110,110,100000,2,9.75,5768.0,0.986644407345576
50,gridworldpartial_transfer,DQN-ReLU-Gridworld-160,160,100000,3,9.31,4341.0,0.9907407407407407
51,gridworldpartial_transfer,DQN-ReLU-Gridworld-160,160,100000,0,9.57,4354.0,0.9817073170731707
52,gridworldpartial_transfer,DQN-ReLU-Gridworld-160,160,100000,1,9.07,4269.0,0.9887218045112782
53,gridworldpartial_transfer,DQN-ReLU-Gridworld-160,160,100000,4,8.89,4042.0,0.9815573770491803
54,gridworldpartial_transfer,DQN-ReLU-Gridworld-160,160,100000,2,9.38,4488.0,0.9942857142857143
55,gridworldpartial_transfer,DQN-FTA-Gridworld-115,115,100000,0,2.59,330.0,0.3007518796992481
56,gridworldpartial_transfer,DQN-FTA-Gridworld-115,115,100000,3,2.27,281.0,0.248
57,gridworldpartial_transfer,DQN-FTA-Gridworld-115,115,100000,1,2.27,289.0,0.2923076923076923
58,gridworldpartial_transfer,DQN-FTA-Gridworld-115,115,100000,4,2.6300000000000003,327.0,0.23577235772357724
59,gridworldpartial_transfer,DQN-FTA-Gridworld-115,115,100000,2,2.0300000000000002,240.0,0.256
60,gridworldpartial_transfer,DQN-ReLU-Gridworld-165,165,100000,0,6.159999999999999,1005.0,0.562874251497006
61,gridworldpartial_transfer,DQN-ReLU-Gridworld-165,165,100000,3,5.4,947.0,0.7106598984771574
62,gridworldpartial_transfer,DQN-ReLU-Gridworld-165,165,100000,1,5.12,836.0,0.5316455696202531
63,gridworldpartial_transfer,DQN-ReLU-Gridworld-165,165,100000,4,3.5700000000000003,565.0,0.5308641975308642
64,gridworldpartial_transfer,DQN-ReLU-Gridworld-165,165,100000,2,3.83,626.0,0.5125
65,gridworldpartial_transfer,DQN-FTA-Gridworld-120,120,100000,0,5.79,1882.0,0.964769647696477
66,gridworldpartial_transfer,DQN-FTA-Gridworld-120,120,100000,3,8.03,2651.0,0.9820051413881749
67,gridworldpartial_transfer,DQN-FTA-Gridworld-120,120,100000,1,8.700000000000001,2959.0,0.9894459102902374
68,gridworldpartial_transfer,DQN-FTA-Gridworld-120,120,100000,4,4.98,1332.0,0.9819121447028424
69,gridworldpartial_transfer,DQN-FTA-Gridworld-120,120,100000,2,8.399999999999999,2662.0,0.9641873278236914
70,gridworldpartial_transfer,DQN-ReLU-Gridworld-170,170,100000,3,4.68,663.0,0.5102040816326531
71,gridworldpartial_transfer,DQN-ReLU-Gridworld-170,170,100000,0,3.37,468.0,0.11214953271028037
72,gridworldpartial_transfer,DQN-ReLU-Gridworld-170,170,100000,1,3.7800000000000002,519.0,0.4701492537313433
73,gridworldpartial_transfer,DQN-ReLU-Gridworld-170,170,100000,4,1.0499999999999998,114.0,0.14545454545454545
74,gridworldpartial_transfer,DQN-ReLU-Gridworld-170,170,100000,2,4.74,675.0,0.4122137404580153
75,gridworldpartial_transfer,DQN-FTA-Gridworld-125,125,100000,3,0.52,60.0,0.1
76,gridworldpartial_transfer,DQN-FTA-Gridworld-125,125,100000,0,1.56,175.0,0.12727272727272726
77,gridworldpartial_transfer,DQN-FTA-Gridworld-125,125,100000,4,1.19,127.0,0.12727272727272726
78,gridworldpartial_transfer,DQN-FTA-Gridworld-125,125,100000,1,1.9200000000000002,237.0,0.1565217391304348
79,gridworldpartial_transfer,DQN-FTA-Gridworld-125,125,100000,2,1.31,154.0,0.13513513513513514
80,gridworldpartial_transfer,DQN-ReLU-Gridworld-20,20,100000,0,6.6499999999999995,1555.0,0.7265625
81,gridworldpartial_transfer,DQN-ReLU-Gridworld-20,20,100000,3,7.16,1713.0,0.7012448132780082
82,gridworldpartial_transfer,DQN-ReLU-Gridworld-20,20,100000,1,7.26,1657.0,0.7470817120622568
83,gridworldpartial_transfer,DQN-ReLU-Gridworld-20,20,100000,4,6.6899999999999995,1484.0,0.7041666666666667
84,gridworldpartial_transfer,DQN-ReLU-Gridworld-20,20,100000,2,5.81,1312.0,0.6768558951965066
85,gridworldpartial_transfer,DQN-FTA-Gridworld-130,130,100000,0,9.8,5377.0,0.9936708860759493
86,gridworldpartial_transfer,DQN-FTA-Gridworld-130,130,100000,3,9.89,5411.0,0.989983305509182
87,gridworldpartial_transfer,DQN-FTA-Gridworld-130,130,100000,4,8.97,5063.0,0.9934959349593496
88,gridworldpartial_transfer,DQN-FTA-Gridworld-130,130,100000,1,8.91,4744.0,0.9934640522875817
89,gridworldpartial_transfer,DQN-FTA-Gridworld-130,130,100000,2,9.35,5227.0,0.9952
90,gridworldpartial_transfer,DQN-ReLU-Gridworld-25,25,100000,3,7.26,1710.0,0.7004405286343612
91,gridworldpartial_transfer,DQN-ReLU-Gridworld-25,25,100000,0,6.74,1479.0,0.695067264573991
92,gridworldpartial_transfer,DQN-ReLU-Gridworld-25,25,100000,4,6.699999999999999,1438.0,0.6761904761904762
93,gridworldpartial_transfer,DQN-ReLU-Gridworld-25,25,100000,1,7.240000000000001,1660.0,0.7172995780590717
94,gridworldpartial_transfer,DQN-ReLU-Gridworld-25,25,100000,2,7.04,1538.0,0.6742081447963801
95,gridworldpartial_transfer,DQN-FTA-Gridworld-135,135,100000,0,9.75,3994.0,0.975
96,gridworldpartial_transfer,DQN-FTA-Gridworld-135,135,100000,3,8.46,3531.0,0.991578947368421
97,gridworldpartial_transfer,DQN-FTA-Gridworld-135,135,100000,1,9.71,4329.0,0.9816326530612245
98,gridworldpartial_transfer,DQN-FTA-Gridworld-135,135,100000,4,8.99,3869.0,0.9896049896049897
99,gridworldpartial_transfer,DQN-FTA-Gridworld-135,135,100000,2,8.66,3458.0,0.9786223277909739
100,gridworldpartial_transfer,DQN-ReLU-Gridworld-30,30,100000,3,7.17,1687.0,0.7228915662650602
101,gridworldpartial_transfer,DQN-ReLU-Gridworld-30,30,100000,0,6.83,1472.0,0.7106382978723405
102,gridworldpartial_transfer,DQN-ReLU-Gridworld-30,30,100000,1,6.709999999999999,1481.0,0.6810344827586207
103,gridworldpartial_transfer,DQN-ReLU-Gridworld-30,30,100000,4,6.43,1384.0,0.6788990825688074
104,gridworldpartial_transfer,DQN-ReLU-Gridworld-30,30,100000,2,6.71,1528.0,0.6812227074235808
105,gridworldpartial_transfer,DQN-FTA-Gridworld-140,140,100000,3,9.41,5489.0,0.9954128440366973
106,gridworldpartial_transfer,DQN-FTA-Gridworld-140,140,100000,0,9.9,5519.0,0.9864406779661017
107,gridworldpartial_transfer,DQN-FTA-Gridworld-140,140,100000,1,8.549999999999999,3099.0,0.925207756232687
108,gridworldpartial_transfer,DQN-FTA-Gridworld-140,140,100000,4,9.91,5761.0,0.9847198641765704
109,gridworldpartial_transfer,DQN-FTA-Gridworld-140,140,100000,2,9.84,5373.0,0.9829931972789115
110,gridworldpartial_transfer,DQN-ReLU-Gridworld-35,35,100000,3,6.8500000000000005,1462.0,0.6936936936936937
111,gridworldpartial_transfer,DQN-ReLU-Gridworld-35,35,100000,0,7.289999999999999,1676.0,0.7327586206896551
112,gridworldpartial_transfer,DQN-ReLU-Gridworld-35,35,100000,4,6.11,1335.0,0.6933962264150944
113,gridworldpartial_transfer,DQN-ReLU-Gridworld-35,35,100000,1,6.179999999999999,1245.0,0.6940639269406392
114,gridworldpartial_transfer,DQN-ReLU-Gridworld-35,35,100000,2,6.85,1453.0,0.6926605504587156
115,gridworldpartial_transfer,DQN-FTA-Gridworld-145,145,100000,0,9.200000000000001,4682.0,0.9913941480206541
116,gridworldpartial_transfer,DQN-FTA-Gridworld-145,145,100000,3,9.53,4688.0,0.9833641404805915
117,gridworldpartial_transfer,DQN-FTA-Gridworld-145,145,100000,1,8.31,4276.0,0.991166077738516
118,gridworldpartial_transfer,DQN-FTA-Gridworld-145,145,100000,4,9.07,4685.0,0.987783595113438
119,gridworldpartial_transfer,DQN-FTA-Gridworld-145,145,100000,2,9.8,4794.0,0.9945553539019963
120,gridworldpartial_transfer,DQN-ReLU-Gridworld-40,40,100000,0,8.89,4294.0,0.9634888438133874
