,algorithm,seed,State Awareness
0,DQN-FTA-GridworldPartial,0,1.0
1,DQN-FTA-GridworldPartial,1,1.0
2,DQN-FTA-GridworldPartial,2,1.0
3,DQN-FTA-GridworldPartial,3,1.0
4,DQN-FTA-GridworldPartial,4,1.0
5,DQN-ReLU-GridworldPartial,0,1.0
6,DQN-ReLU-GridworldPartial,1,1.0
7,DQN-ReLU-GridworldPartial,2,1.0
8,DQN-ReLU-GridworldPartial,3,1.0
9,DQN-ReLU-GridworldPartial,4,1.0
10,DRQN-FTA-GridworldPartial,0,0.6461841464042664
11,DRQN-FTA-GridworldPartial,1,0.7072212100028992
12,DRQN-FTA-GridworldPartial,2,0.6868839859962463
13,DRQN-FTA-GridworldPartial,3,0.6760550439357758
14,DRQN-FTA-GridworldPartial,4,0.7206663191318512
15,DRQN-ReLU-GridworldPartial,0,0.8519442528486252
16,DRQN-ReLU-GridworldPartial,1,0.8656355887651443
17,DRQN-ReLU-GridworldPartial,2,0.8284055292606354
18,DRQN-ReLU-GridworldPartial,3,0.8556054979562759
19,DRQN-ReLU-GridworldPartial,4,0.8177524358034134
